task_id,repo,condition,model,pred_index,actor,name,description,evidence_paths,matched_gold,best_similarity,path_coverage,majority_category,unanimous,has_unique_majority,annotator_11_category,annotator_11_confidence,annotator_11_supported,annotator_11_path_grounded,annotator_11_needs_discussion,annotator_11_notes,annotator_12_category,annotator_12_confidence,annotator_12_supported,annotator_12_path_grounded,annotator_12_needs_discussion,annotator_12_notes,annotator_13_category,annotator_13_confidence,annotator_13_supported,annotator_13_path_grounded,annotator_13_needs_discussion,annotator_13_notes
4jean__lav_sms::readme_only::deepseek-v4-pro::0,4jean__lav_sms,readme_only,deepseek-v4-pro,0,User,Login,Authenticated users log into the system using their credentials to access role-based dashboards.,"readme.md (login screenshot, login credentials)",Update own account,0.2081,,matched_goal_missing_or_wrong_path,True,True,matched_goal_missing_or_wrong_path,medium,True,False,False,"README screenshot/credentials suggest login, but grounding is weak and likely scaffold-level.",matched_goal_missing_or_wrong_path,medium,True,False,False,"README screenshot/credentials suggest login, but grounding is weak and likely scaffold-level.",matched_goal_missing_or_wrong_path,medium,True,False,False,"README screenshot/credentials suggest login, but grounding is weak and likely scaffold-level."
4jean__lav_sms::readme_only::deepseek-v4-pro::1,4jean__lav_sms,readme_only,deepseek-v4-pro,1,Administrator,Manage Exams and Grades,"Administrators create, edit, and manage exam definitions and grading scales.",readme.md (Administrators functions),Manage timetable,0.2,,matched_supported_goal,True,True,matched_supported_goal,medium,True,True,False,README explicitly lists administrator functions supporting exam/grade management.,matched_supported_goal,medium,True,True,False,README explicitly lists administrator functions supporting exam/grade management.,matched_supported_goal,medium,True,True,False,README explicitly lists administrator functions supporting exam/grade management.
4jean__lav_sms::readme_only::deepseek-v4-pro::2,4jean__lav_sms,readme_only,deepseek-v4-pro,2,Administrator,Manage Subjects,"Administrators add, edit, and organize academic subjects.",readme.md (Administrators functions),Manage timetable,0.3333,0.0,matched_supported_goal,True,True,matched_supported_goal,medium,True,True,False,README administrator functions support subject management.,matched_supported_goal,medium,True,True,False,README administrator functions support subject management.,matched_supported_goal,medium,True,True,False,README administrator functions support subject management.
4jean__lav_sms::readme_only::deepseek-v4-pro::3,4jean__lav_sms,readme_only,deepseek-v4-pro,3,Administrator,Manage User Accounts,"Administrators create, edit, and manage profiles for all user roles (teachers, students, parents, etc.).",readme.md (Administrators functions),Manage timetable,0.25,,matched_supported_goal,True,True,matched_supported_goal,medium,True,True,False,README administrator functions support user account management.,matched_supported_goal,medium,True,True,False,README administrator functions support user account management.,matched_supported_goal,medium,True,True,False,README administrator functions support user account management.
4jean__lav_sms::readme_only::deepseek-v4-pro::4,4jean__lav_sms,readme_only,deepseek-v4-pro,4,Teacher,Record Exam Marks,Teachers enter and update student marks for the subjects they teach.,readme.md (Teacher functions),Manage marks,0.25,,matched_supported_goal,True,True,matched_supported_goal,medium,True,True,False,README teacher functions support mark recording.,matched_supported_goal,medium,True,True,False,README teacher functions support mark recording.,matched_supported_goal,medium,True,True,False,README teacher functions support mark recording.
4jean__lav_sms::readme_only::deepseek-v4-pro::5,4jean__lav_sms,readme_only,deepseek-v4-pro,5,Teacher,Upload Study Materials,Teachers upload study materials for their classes.,readme.md (Teacher functions),Manage marks,0.1622,,readme_overgeneralization,True,True,readme_overgeneralization,medium,False,False,False,Teacher-functions README evidence is too generic to support study-material upload specifically.,readme_overgeneralization,medium,False,False,False,Teacher-functions README evidence is too generic to support study-material upload specifically.,readme_overgeneralization,medium,False,False,False,Teacher-functions README evidence is too generic to support study-material upload specifically.
4jean__lav_sms::readme_only::deepseek-v4-pro::6,4jean__lav_sms,readme_only,deepseek-v4-pro,6,Student,View Marksheet,Students view their own academic marks and class timetable.,"readme.md (Student functions, marksheet screenshot)",View and print marksheet,0.5,0.0,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,README functions plus marksheet screenshot directly support this workflow.,matched_supported_goal,medium,True,True,False,README functions plus marksheet screenshot directly support this workflow.,matched_supported_goal,medium,True,True,False,README functions plus marksheet screenshot directly support this workflow.
4jean__lav_sms::readme_only::deepseek-v4-pro::7,4jean__lav_sms,readme_only,deepseek-v4-pro,7,Parent,View Child's Marksheet,Parents view and download/print their child's academic marksheet.,"readme.md (Parent functions, print marksheet screenshot)",View children,0.4,0.0,matched_supported_goal,True,True,matched_supported_goal,high,True,True,False,README parent functions plus print screenshot directly support this workflow.,matched_supported_goal,medium,True,True,False,README parent functions plus print screenshot directly support this workflow.,matched_supported_goal,medium,True,True,False,README parent functions plus print screenshot directly support this workflow.
4jean__lav_sms::file_tree_only::deepseek-v4-pro::0,4jean__lav_sms,file_tree_only,deepseek-v4-pro,0,User,Register account,A new user creates an account to access the school management system.,app/Http/Controllers/Auth/RegisterController.php | resources/views/auth/register.blade.php,Update own account,0.25,,framework_or_boilerplate_noise,True,True,framework_or_boilerplate_noise,high,False,False,False,Auth scaffold files alone do not show this is a project-specific requirement.,framework_or_boilerplate_noise,high,False,False,False,Auth scaffold files alone do not show this is a project-specific requirement.,framework_or_boilerplate_noise,high,False,False,False,Auth scaffold files alone do not show this is a project-specific requirement.
4jean__lav_sms::file_tree_only::deepseek-v4-pro::1,4jean__lav_sms,file_tree_only,deepseek-v4-pro,1,User,Log in,A registered user authenticates into the system.,app/Http/Controllers/Auth/LoginController.php | resources/views/auth/login.blade.php,Update own account,0.1909,,framework_or_boilerplate_noise,True,True,framework_or_boilerplate_noise,high,False,False,False,Login is inferred only from Laravel auth scaffold.,framework_or_boilerplate_noise,high,False,False,False,Login is inferred only from Laravel auth scaffold.,framework_or_boilerplate_noise,high,False,False,False,Login is inferred only from Laravel auth scaffold.
